NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167E731,1591549200,56.292,33.895,0.000,63.914,96.563,0.000
50029167E731,1591552800,54.568,33.854,0.000,31.506,49.965,0.000
50029167E731,1591556400,52.228,33.685,0.000,12.537,22.839,0.000
50029167E731,1591560000,48.161,33.721,0.000,5.096,11.276,0.000
50029167E731,1591563600,48.755,33.548,0.000,4.424,10.285,0.000
50029167E731,1591567200,50.539,33.131,0.000,4.060,9.453,0.000
50029167E731,1591570800,50.152,32.948,0.000,4.237,10.498,0.000
50029167E731,1591574400,48.256,33.236,0.000,7.884,19.754,0.000
50029167E731,1591578000,45.232,34.357,0.000,5.078,17.003,0.000
50029167E731,1591581600,40.751,35.871,0.000,4.244,16.754,0.000
50029167E731,1591585200,37.661,37.175,0.000,3.610,11.656,0.000
50029167E731,1591588800,35.832,37.955,0.000,2.575,10.289,0.000
50029167E731,1591592400,35.069,38.452,0.000,2.149,7.792,0.000
50029167E731,1591596000,31.569,40.077,0.000,1.761,5.764,0.000
50029167E731,1591599600,30.373,40.803,0.000,1.544,5.432,0.000
50029167E731,1591603200,27.950,41.810,0.000,1.529,5.743,0.000
50029167E731,1591606800,26.999,42.612,0.000,1.673,6.616,0.000
50029167E731,1591610400,27.355,42.499,0.000,1.779,7.916,0.000
50029167E731,1591614000,35.521,39.011,0.000,6.664,17.533,0.000
50029167E731,1591617600,44.240,36.900,0.000,17.123,29.615,0.000
50029167E731,1591621200,47.507,35.869,0.000,28.492,43.925,0.000
50029167E731,1591624800,49.521,35.356,0.000,39.829,59.156,0.000
50029167E731,1591628400,50.469,34.986,0.000,50.070,75.356,0.000
50029167E731,1591632000,51.366,34.422,0.000,51.497,78.195,0.000
