NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
50029167E78E,1593968400,67.381,32.034,0.000,7.509,19.613,0.000
50029167E78E,1593972000,67.982,32.071,0.000,6.169,17.940,0.000
50029167E78E,1593975600,66.856,32.169,0.000,4.404,14.703,0.000
50029167E78E,1593979200,66.741,31.999,0.000,3.203,11.820,0.000
50029167E78E,1593982800,66.618,31.856,0.000,2.705,11.045,0.000
50029167E78E,1593986400,67.597,31.689,0.000,3.586,14.999,0.000
50029167E78E,1593990000,68.627,31.594,0.000,4.895,28.128,0.000
50029167E78E,1593993600,69.755,31.647,0.000,5.173,22.620,0.000
50029167E78E,1593997200,61.313,33.552,0.000,4.690,24.570,0.000
50029167E78E,1594000800,58.056,34.455,0.000,5.468,23.226,0.000
50029167E78E,1594004400,53.974,35.782,0.000,5.044,20.499,0.000
50029167E78E,1594008000,49.906,37.289,0.000,5.122,22.523,0.000
50029167E78E,1594011600,45.421,38.879,0.000,4.485,18.687,0.000
50029167E78E,1594015200,38.967,41.260,0.000,3.705,14.121,0.000
50029167E78E,1594018800,33.647,42.685,0.000,2.673,10.519,0.000
50029167E78E,1594022400,35.362,42.323,0.000,3.683,13.387,0.000
50029167E78E,1594026000,43.071,39.266,0.000,4.211,13.671,0.000
50029167E78E,1594029600,50.203,37.380,0.000,4.386,14.727,0.000
50029167E78E,1594033200,53.428,36.403,0.000,5.395,19.450,0.000
