NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227DC944,1596474000,63.851,32.035,0.000,11.541,25.738,0.000
DC4F227DC944,1596477600,66.395,31.251,0.000,9.421,22.510,0.000
DC4F227DC944,1596481200,68.993,30.531,0.000,15.982,32.697,0.000
DC4F227DC944,1596484800,70.824,30.304,0.000,30.647,49.985,0.000
DC4F227DC944,1596488400,70.657,30.248,0.000,25.941,42.320,0.000
DC4F227DC944,1596492000,70.689,30.152,0.000,26.140,44.304,0.000
DC4F227DC944,1596495600,71.251,30.093,0.000,32.044,50.941,0.000
DC4F227DC944,1596499200,72.573,29.816,0.000,13.066,20.651,0.000
DC4F227DC944,1596502800,73.125,29.620,0.000,14.635,20.395,0.000
DC4F227DC944,1596506400,73.552,29.877,0.000,19.864,31.119,0.000
DC4F227DC944,1596510000,72.344,30.232,0.000,19.776,29.932,0.000
DC4F227DC944,1596513600,69.515,30.977,0.000,13.250,22.209,0.000
DC4F227DC944,1596517200,63.490,32.440,0.000,12.519,19.279,0.000
DC4F227DC944,1596520800,63.805,32.391,0.000,23.511,30.997,0.000
DC4F227DC944,1596524400,62.786,32.573,0.000,18.566,23.545,0.000
DC4F227DC944,1596528000,62.478,32.455,0.000,16.086,24.673,0.000
