NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227DCCD1,1590944400,60.047,32.255,0.000,20.229,27.782,0.000
DC4F227DCCD1,1590948000,63.368,31.813,0.000,15.147,23.106,0.000
DC4F227DCCD1,1590951600,64.628,31.584,0.000,13.321,19.057,0.000
DC4F227DCCD1,1590955200,67.122,31.299,0.000,17.525,22.014,0.000
DC4F227DCCD1,1590958800,68.307,31.082,0.000,16.422,21.169,0.000
DC4F227DCCD1,1590962400,69.423,30.912,0.000,17.518,22.209,0.000
DC4F227DCCD1,1590966000,70.614,30.750,0.000,18.359,23.496,0.000
DC4F227DCCD1,1590969600,70.145,30.768,0.000,17.012,23.487,0.000
DC4F227DCCD1,1590973200,65.466,31.684,0.000,14.882,20.754,0.000
DC4F227DCCD1,1590976800,59.993,33.001,0.000,13.809,19.346,0.000
DC4F227DCCD1,1590980400,53.897,34.282,0.000,13.973,18.954,0.000
DC4F227DCCD1,1590984000,52.420,34.714,0.000,13.596,18.878,0.000
DC4F227DCCD1,1590987600,47.296,35.735,0.000,11.278,16.248,0.000
DC4F227DCCD1,1590991200,42.403,37.352,0.000,9.895,14.611,0.000
DC4F227DCCD1,1590994800,40.476,37.897,0.000,9.496,13.837,0.000
DC4F227DCCD1,1590998400,43.732,36.928,0.000,9.181,13.046,0.000
DC4F227DCCD1,1591002000,39.378,38.864,0.000,8.564,12.757,0.000
DC4F227DCCD1,1591005600,34.308,41.780,0.000,10.281,15.613,0.000
DC4F227DCCD1,1591009200,53.179,32.236,0.000,9.380,21.336,0.000
DC4F227DCCD1,1591012800,61.148,30.161,0.000,17.394,24.543,0.000
DC4F227DCCD1,1591016400,64.888,30.085,0.000,18.840,26.748,0.000
DC4F227DCCD1,1591020000,72.650,28.736,0.000,16.885,22.441,0.000
DC4F227DCCD1,1591023600,70.003,28.891,0.000,9.227,12.825,0.000
DC4F227DCCD1,1591027200,71.867,28.565,0.000,11.834,15.382,0.000
