NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227E6793,1595178000,63.293,33.102,0.000,11.062,23.127,0.000
DC4F227E6793,1595181600,65.152,30.895,0.000,2.250,6.074,0.000
DC4F227E6793,1595185200,70.561,30.611,0.000,5.360,16.438,0.000
DC4F227E6793,1595188800,72.296,31.673,0.000,6.188,15.298,0.000
DC4F227E6793,1595192400,73.792,31.583,0.000,7.417,19.358,0.000
DC4F227E6793,1595196000,72.145,31.631,0.000,7.034,19.576,0.000
DC4F227E6793,1595199600,76.078,30.790,0.000,9.325,25.434,0.000
DC4F227E6793,1595203200,75.511,30.836,0.000,8.714,26.425,0.000
DC4F227E6793,1595206800,69.643,32.283,0.000,10.591,33.986,0.000
DC4F227E6793,1595210400,61.593,34.166,0.000,10.582,27.606,0.000
DC4F227E6793,1595214000,57.976,34.856,0.000,11.026,25.504,0.000
DC4F227E6793,1595217600,53.584,35.793,0.000,8.238,19.288,0.000
DC4F227E6793,1595221200,52.058,36.233,0.000,6.619,17.523,0.000
DC4F227E6793,1595224800,56.078,34.963,0.000,6.933,17.856,0.000
DC4F227E6793,1595228400,57.297,33.417,0.000,4.632,12.993,0.000
DC4F227E6793,1595232000,60.602,31.632,0.000,6.032,15.335,0.000
DC4F227E6793,1595235600,59.824,32.019,0.000,7.849,18.807,0.000
