NodeId,Time,Hum,Tem,Pm1,Pm2p5,Pm10,CO
DC4F227E68C4,1594659600,67.092,33.751,0.000,8.161,13.941,0.000
DC4F227E68C4,1594663200,64.985,32.970,0.000,8.873,14.563,0.000
DC4F227E68C4,1594666800,67.301,31.366,0.000,6.217,10.203,0.000
DC4F227E68C4,1594670400,68.614,30.831,0.000,4.977,8.735,0.000
DC4F227E68C4,1594674000,67.444,31.083,0.000,4.712,9.044,0.000
DC4F227E68C4,1594677600,66.216,31.211,0.000,11.107,18.323,0.000
DC4F227E68C4,1594681200,67.718,30.575,0.000,12.432,21.246,0.000
DC4F227E68C4,1594684800,69.324,30.365,0.000,12.814,21.962,0.000
DC4F227E68C4,1594688400,68.150,30.844,0.000,14.048,22.189,0.000
DC4F227E68C4,1594692000,66.150,31.856,0.000,14.421,24.423,0.000
DC4F227E68C4,1594695600,61.423,33.505,0.000,15.162,23.758,0.000
DC4F227E68C4,1594699200,52.730,35.835,0.000,8.740,14.511,0.000
DC4F227E68C4,1594702800,49.151,37.338,0.000,8.160,12.854,0.000
DC4F227E68C4,1594706400,45.323,38.946,0.000,8.272,12.510,0.000
DC4F227E68C4,1594710000,41.496,40.914,0.000,7.821,10.985,0.000
